A Little Chat|Conversinha
Mire's Grasp|Garras do Lodaçal
Mire's Malice|Maleficência do Lodo
Mire's Toll|Pedágio do Lodaçal
Miren, the Moaning Well|Miren, o Bem Lamuriante
Mirko Vosk, Mind Drinker|
Mirkwood Bats|Morcegos da Floresta das Trevas
Mirkwood Elk|Alce da Floresta das Trevas
Mirkwood Spider|Aranha da Floresta das Trevas
Mirkwood Trapper|Armadilheiro da Floresta das Trevas
Mirozel|Mirozel
Mirran Banesplitter|Lasca-ruína Mirraniano
Mirran Bardiche|Berdiche Mirraniano
Mirran Crusader|Cruzado Mirraniano
Mirran Mettle|Bravura Mirraniana
Mirran Safehouse|Refúgio Mirraniano
Mirran Spy|Espião Mirraniano
Mirrex|Mirrex
Mirri the Cursed|Mirri, a Amaldiçoada
Mirri's Guile|Astúcia de Mirri
Mirri, Cat Warrior|Mirri, Felina Guerreira
Mirri, Weatherlight Duelist|Mirri, Duelista do Bons Ventos
Mirrodin Avenged|Mirrodin Vingada
Mirrodin Besieged|Mirrodin Sitiada
Mirrodin's Core|Núcleo de Mirrodin
Mirror Box|Caixa de Espelhos
Mirror Entity|Entidade do Espelho
Mirror Gallery|Galeria de Espelhos
Mirror Golem|Golem Espelhado
Mirror Image|Imagem Espelhada
Mirror March|Marcha dos Reflexos
Mirror Mockery|Deboche do Reflexo
Mirror Sheen|Brilho Espelhado
Mirror Shield|Escudo Espelhado
Mirror Strike|Golpe Espelhado
Mirror Wall|Barreira de Espelho
Mirror of Fate|Espelho do Destino
Mirror of Galadriel|Espelho de Galadriel
Mirror of Life Trapping|Espelho do Aprisionamento
Mirror of the Forebears|Espelho dos Antepassados
Mirror-Mad Phantasm|Fantasma do Espelho Vivo
Mirror-Shield Hoplite|Hoplita do Escudo-espelho
Mirror-Sigil Sergeant|Sargento da Insígnia Espelhada
Mirror-Style Master|Mestre do Estilo Espelhado
Mirrormade|Espelhamento
Mirrormere Guardian|Guardiã do Lago-espelho
Mirrorpool|Poço-espelho
Mirrorshell Crab|Caranguejo da Carapaça Espelhada
Mirrorweave|Espelho Prolífero
Mirrorwing Dragon|Dragão Asa-de-espelho
Mirrorwood Treefolk|Ent de Mirrorwood
Mirrorworks|Engrenagem de Espelhos
Miscalculation|Erro de Cálculo
Miscast|Falha na Conjuração
Mischief and Mayhem|Travessuras e Caos
Mischievous Chimera|Quimera Travessa
Mischievous Poltergeist|Poltergeist Malicioso
Mischievous Quanar|Quanar Travesso
Misdirection|Desencaminhar
Misers' Cage|Gaiola dos Avaros
Misery Charm|Medalhão da Miséria
Misery's Shadow|Sombra da Desgraça
Misfortune|Infortúnio
Misguided Rage|Raiva Mal Orientada
Mishra's Bauble|Bijuteria de Mishra
Mishra's Command|Comando de Mishra
Mishra's Domination|Dominação de Mishra
Mishra's Factory|Fábrica de Mishra
Mishra's Foundry|Fundição de Mishra
Mishra's Groundbreaker|Perfuratriz de Mishra
Mishra's Helix|Hélice de Mishra
Mishra's Juggernaut|Juggernaut de Mishra
Mishra's Onslaught|Investida de Mishra
Mishra's Research Desk|Mesa de Pesquisas de Mishra
Mishra's Self-Replicator|Autorreplicante de Mishra
Mishra's War Machine|Máquina de Guerra de Mishra
Mishra, Artificer Prodigy|Mishra, Prodígio Artífice
Mishra, Claimed by Gix|Mishra, Tomado por Gix
Mishra, Eminent One|Mishra, O Eminente
Mishra, Excavation Prodigy|Mishra, Prodígio da Escavação
Mishra, Tamer of Mak Fawa|Mishra, Domador de Mak Fawa
Misinformation|Informação Falsa
Misshapen Fiend|Demônio Disforme
Mission Briefing|Instruções de Missão
Misstep|Passo em Falso
Mist Dragon|Dragão de Névoa
Mist Intruder|Intruso da Névoa
Mist Leopard|Leopardo da Névoa
Mist Raven|Corvo das Brumas
Mist of Stagnation|Névoa de Estagnação
Mist-Cloaked Herald|Arauta do Manto de Bruma
Mist-Syndicate Naga|Naga do Sindicato das Brumas
Mistbind Clique|Facção Laço de Brumas
Mistblade Shinobi|Shinobi da Lâmina de Névoa
Mistcaller|Invocador das Brumas
Mistcutter Hydra|Hidra Talha-bruma
Mistfire Adept|Adepto Névoa-ígnea
Mistfire Weaver|Tecedora de Névoa-ígnea
Mistfolk|Povo das Brumas
Mistford River Turtle|Tartaruga do Rio Vaubruma
Mistform Dreamer|Sonhador Nebuliforme
Mistform Mask|Máscara Nebuliforme
Mistform Mutant|Mutante Nebuliforme
Mistform Seaswift|Gaivina Nebuliforme
Mistform Shrieker|Guinchador Nebuliforme
Mistform Skyreaver|Dilacerador Celeste Nebuliforme
Mistform Sliver|Fractius Nebuliforme
Mistform Stalker|Caçador Nebuliforme
Mistform Ultimus|Ultimus Nebuliforme
Mistform Wakecaster|Conjurador de Rastro Nebuliforme
Mistform Wall|Barreira Nebuliforme
Mistform Warchief|Comandante de Guerra Nebuliforme
Misthollow Griffin|Grifo do Vale da Neblina
Misthoof Kirin|Kirin Casconévoa
Mistmeadow Skulk|Camuflador de Nevoplanície
Mistmeadow Vanisher|Desaparecedora da Nevoplanície
Mistmeadow Witch|Bruxa da Nevoplanície
Mistmoon Griffin|Grifo da Lua Enevoada
Mistral Charger|Cavalo-de-Batalha Mistral
Mistral Singer|Cantora Mistral
Mists of Littjara|Brumas de Littjara
Mistvault Bridge|Ponte de Nebulocâmara
Mistveil Plains|Planície do Véu Nebuloso
Mistvein Borderpost|Marco da Veia Enevoada
Mistwalker|Andarilho da Névoa
Misty Rainforest|Floresta Tropical Nebulosa
Mite Overseer|Supervisor dos Ácaros
Mithril Coat|Colete de Mithril
Mitotic Manipulation|Manipulação Mitótica
Mitotic Slime|Gosma Mitótica
Mizzium Meddler|Experimentador de Mizzium
Mizzium Mortars|Morteiros de Mizzium
Mizzium Skin|Pele de Mizzium
Mizzium Tank|Tanque de Mizzium
Mizzium Transreliquat|Transrelicário Mizzium
Mizzix's Mastery|Maestria de Mizzix
Mnemonic Betrayal|Traição Mnemônica
Mnemonic Deluge|Dilúvio Mnemônico
Mnemonic Nexus|Nexo Mnemônico
Mnemonic Sliver|Fractius Mnemônico
Mnemonic Sphere|Esfera Mnemônica
Mnemonic Wall|Barreira Mnemônica
Moan of the Unhallowed|Lamento dos Malditos
Moaning Spirit|
Moaning Wall|Muro Lamuriante
Moat Piranhas|Piranhas do Fosso
Mob Justice|Justica da Turba
Mob Mentality|Mentalidade de Turba
Mob Rule|Controle de Turba
Mobile Fort|Forte Móvel
Mobile Garrison|Guarnição Móvel
Mobilization|Mobilização
Mobilized District|Distrito Mobilizado
Mobilizer Mech|Meca Mobilizador
Mob|Turba
Mockery of Nature|Escárnio da Natureza
Mocking Doppelganger|Dúplice Debochada
Model of Unity|Modelo de Unidade
Moderation|Moderação
Modify Memory|Modificar Memória
Mogg Alarm|Alarme Mogg
Mogg Assassin|Mogg Assassino
Mogg Bombers|Bombardeiros Moggs
Mogg Cannon|Canhão de Mogg
Mogg Conscripts|Moggs Recrutas
Mogg Fanatic|Mogg Fanático
Mogg Flunkies|Moggs Confusos
Mogg Hollows|Tocas de Mogg
Mogg Infestation|Infestacão de Moggs
Mogg Jailer|Carcereiro Mogg
Mogg Maniac|Mogg Maníaco
Mogg Raider|Mogg Salteador
Mogg Salvage|Salvados Mogg
Mogg Sentry|Sentinela Mogg
Mogg Squad|Pelotão de Moggs
Mogg Toady|Mogg Desprezível
Mogg War Marshal|Marechal-de-Guerra Mogg
Moggcatcher|Apanhador de Moggs
Mogis's Favor|Proteção de Mogis
Mogis's Marauder|Saqueador de Mogis
Mogis's Warhound|Cão de Guerra de Mogis
Mogis, God of Slaughter|Mogis, Deus da Matança
Moira and Teshar|Moira e Teshar
Moira, Urborg Haunt|Moira, Assombração de Urborg
Mold Adder|Víbora Bolorenta
Mold Folk|Bolorentos
Mold Shambler|Trôpego Bolorento
Molder Beast|Fera Decompositora
Molder Slug|Lesma Eletrolítica
Molderhulk|Mofão
Moldering Karok|Karok Putrescente
Moldervine Cloak|Manto Mofado
Moldervine Reclamation|Recuperação das Gavinhas Bolorentas
Molder|Apodrecer
Moldgraf Millipede|Milípede do Cemitério Bolorento
Moldgraf Monstrosity|Monstro do Cemitério Bolorento
Moldgraf Scavenger|Necrófago do Cemitério Bolorento
Mole Worms|Vermes Toupeiras
Molimo, Maro-Sorcerer|Molimo, Feiticeiro-Maro
Molten Birth|Nascimento Fundente
Molten Blast|Explosão Derretida
Molten Disaster|Desastre Fundente
Molten Echoes|Ecos Derretidos
Molten Firebird|Pássaro de Fogo Fundente
Molten Frame|Moldura Fundida
Molten Hydra|Hidra Derretida
Molten Influence|Influência Fundente
Molten Monstrosity|Monstruosidade Fundida
Molten Nursery|Viveiro Fundido
Molten Primordial|Primordial de Metal Fundido
Molten Psyche|Psique Incandescente
Molten Rain|Chuva Fundente
Molten Ravager|Destruidor Incandescente
Molten Rebuke|Repreensão Derretida
Molten Sentry|Sentinela Fundente
Molten Slagheap|Escória Fundida
Molten Tributary|Afluente Derretido
Molten Vortex|Vórtice Fundente
Molten-Tail Masticore|Mastícora da Cauda Incandescente
Moltensteel Dragon|Dragão de Aço Fundido
Molting Harpy|Hárpia Depenada
Molting Skin|Pele Descascada
Molting Snakeskin|Serpentídeo em Muda
Moment of Craving|Momento de Avidez
Moment of Defiance|Momento de Desafio
Moment of Heroism|Momento de Heroísmo
Moment of Silence|Momento de Silêncio
Moment of Triumph|Momento do Triunfo
Moment of Truth|Hora da Verdade
Moment's Peace|Paz Momentânea
Momentary Blink|Piscadela Momentânea
Momentous Fall|Queda Monumental
Momentum Rumbler|Troante Desenfreado
Momentum|Momento
Momir Vig, Simic Visionary|Momir Vig, Visionário Simic
Monastery Flock|Revoada do Monastério
Monastery Loremaster|Sapiente do Monastério
Monastery Mentor|Mentor do Monastério
Monastery Siege|Cerco ao Monastério
Monastery Swiftspear|Lança Veloz do Monastério
Mondrak, Glory Dominus|Mondrak, Domina da Glória
Mondronen Shaman|Xamã Mondronen
Mongrel Pack|Matilha de Mestiços
Monk Class|Classe: Monge
Monk Idealist|Monge Idealista
Monk Realist|Monge Realista
Monk of the Open Hand|Monge da Mão Espalmada
Monkey Cage|Jaula de Macacos
Monologue Tax|Taxa de Monólogo
Monomania|Monomania
Monoskelion|Monoscele
Mons's Goblin Raiders|Goblins Salteadores do Mons
Monsoon|Monção
Monstrify|Monstrificar
Monstrosity of the Lake|Monstruosidade do Lago
Monstrous Carabid|Carabídeo Monstruoso
Monstrous Growth|Crescimento Monstruoso
Monstrous Hound|Sabujo Monstruoso
Monstrous Onslaught|Investida Monstruosa
Monstrous Step|Passo Monstruoso
Monstrous War-Leech|Sanguessuga de Guerra Monstruosa
Monument to Perfection|Monumento à Perfeição
Monumental Corruption|Corrupção Monumental
Moodmark Painter|Pintora de Marca d'Alma
Moon Heron|Garça Lunar
Moon Sprite|
Moon-Blessed Cleric|Clériga Abençoada pela Lua
Moon-Circuit Hacker|Hacker do Circuito Lunar
Moonblade Shinobi|Shinobi da Lâmina Lunar
Moonbow Illusionist|Ilusionista Arco da Lua
Moonfolk Puzzlemaker|Charadeira Cidadã-da-lua
Moonglove Changeling|Morfolóide Luvalua
Moonglove Extract|Extrato de Luvalua
Moonglove Winnower|Peneirador Luvalua
Moonhold|Reter a Lua
Moonlace|Enlace Lunar
Moonlight Bargain|Barganha do Luar
Moonlight Geist|Geist do Luar
Moonlight Hunt|Caçada ao Luar
Moonlit Scavengers|Carniceiros ao Luar
Moonlit Strider|Andarilho do Luar
Moonlit Wake|Vigília ao Luar
Moonmist|Neblina Lunar
Moonrager's Slash|Laceração do Raivoso Lunar
Moonring Island|Ilha do Anel Lunar
Moonring Mirror|Espelho de Aro Lunar
Moonrise Intruder|Intrusa do Nascer da Lua
Moonscarred Werewolf|Lobisomem da Cicatriz Lunar
Moonsilver Key|Chave de Prata Lunar
Moonsilver Spear|Lança de Prata Lunar
Moonsnare Prototype|Protótipo de Lunilaço
Moonsnare Specialist|Especialista em Lunilaço
Moonveil Dragon|Dragão do Véu Lunar
Moonveil Regent|Regente do Véu Lunar
Moonwing Moth|Mariposa Asa de Lua
Moor Fiend|Capeta da Charneca
Moorish Cavalry|Cavalaria Moura
Moorland Drifter|Errante da Charneca
Moorland Haunt|Casarão Assombrado do Pântano
Moorland Inquisitor|Inquisidor do Pântano
Moorland Rescuer|Salvadora da Charneca
Morale|Moral
Morality Shift|Mudança de Moralidade
Moratorium Stone|Pedra da Moratória
Moraug, Fury of Akoum|Moraug, Fúria de Akoum
Morbid Bloom|Florescência Mórbida
Morbid Curiosity|Curiosidade Mórbida
Morbid Hunger|Fome Doentia
Morbid Opportunist|Oportunista Mórbida
Morbid Plunder|Saqueamento Mórbido
Mordant Dragon|Dragão Mordaz
Mordenkainen's Polymorph|Polimorfia de Mordenkainen
Mordenkainen|Mordenkainen
Mordor Muster|Mobilização de Mordor
Mordor Trebuchet|Trabuco de Mordor
Morgue Burst|
Morgue Theft|Roubo no Necrotério
Morgue Thrull|Thrull do Necrotério
Morgue Toad|Sapo do Necrotério
Morgul-Knife Wound|Ferida de Punhal de Morgul
Moria Marauder|Saqueador de Moria
Moria Scavenger|Carniceiro de Moria
Morinfen|Morinfen
Moriok Reaver|Larápio Murioque
Moriok Replica|Réplica de Murioque
Moriok Rigger|Murioque Aparelhador
Moriok Scavenger|Murioque Escamotadora
Moritte of the Frost|Moritte da Geada
Morkrut Banshee|Banshee de Morkrut
Morkrut Behemoth|Behemoth do Morkrut
Morkrut Necropod|Necrópode do Morkrut
Morningtide|Alvorecer
Moroii|Moroii
Morophon, the Boundless|Morophon, o Irrestrito
Morphic Pool|Piscina Mórfica
Morphling|Morfolídeo
Morsel Theft|Roubar um Pedaço
Morselhoarder|Abocanhador
Mortal Combat|Combate Mortal
Mortal Obstinacy|Obstinação dos Mortais
Mortal Wound|Ferimento Mortal
Mortal's Ardor|Ardor dos Mortais
Mortal's Resolve|Determinação dos Mortais
Mortality Spear|Lança da Mortalidade
Mortarion, Daemon Primarch|Mortarion, Primarca Daemônio
Mortarpod|Casulo-Morteiro
Mortician Beetle|Besouro Coveiro
Mortify|Mortificar
Mortipede|Centopéia Mortífera
Mortiphobia|Mortifobia
Mortis Dogs|Cães Mortis
Mortivore|Mortívoro
Mortuary Mire|Lodaçal Mortuário
Mortuary|Mortuário
Mortus Strider|Andarilho Mortus
Mosquito Guard|Guarda Mosquito
Moss Diamond|Diamante de Limo
Moss Kami|Kami do Limo
Moss Monster|Monstro de Limo
Moss Viper|Víbora do Musgo
Moss-Pit Skeleton|Esqueleto do Poço de Musgo
Mossbeard Ancient|Barbamusgo Ancestral
Mossbridge Troll|Trol da Ponte Musgosa
Mosscoat Goriak|Goriaque-de-musgomanto
Mossdog|Cão de Musgo
Mossfire Egg|Ovo de Mossfire
Mossfire Valley|Vale de Mossfire
Mosstodon|Musgodonte
Mosswort Bridge|Ponte Musgomosto
Most Wanted|Foragida Número Um
Mothdust Changeling|Morfolóide Mariposa
Mother Bear|Mamãe Ursa
Mother of Runes|Madre das Runas
Mothrider Patrol|Patrulheira Ginete de Mariposa
Mothrider Samurai|Samurai Ginete de Mariposas
Motivated Pony|Pônei Motivado
Mount Doom|Monte da Perdição
Mount Velus Manticore|Mantícora do Monte Velo
Mountain Goat|Cabrito Montês
Mountain Titan|Titã da Montanha
Mountain Valley|Desfiladeiro
Mountain|Montanha
Mounted Archers|Arqueiros Montados
Mounted Dreadknight|Cavaleiro do Pavor Montado
Mourner's Shield|Escudo do Lamentoso
Mournful Zombie|Zumbi Lúgubre
Mourning Thrull|Thrull Fúnebre
Mourning|Luto
Mournwhelk|Caracol Lúgubre
Mournwillow|Salgueiro do Luto
Mouth of Ronom|Boca de Ronom
Mouth|Boca
Mowu, Loyal Companion|Mowu, Companheiro Leal
Mox Amber|Mox de Âmbar
Mox Diamond|Mox de Diamante
Mox Opal|Mox de Opala
Mox Tantalite|Mox de Tantalita
Mr. Orfeo, the Boulder|Sr. Orfeo, a Rocha
Mtenda Griffin|Grifo de Mtenda
Mtenda Herder|Boiadeiro de Mtenda
Mtenda Lion|Leão de Mtenda
Mu Yanling, Celestial Wind|Mu Yanling, Vento Celestial
Mu Yanling, Sky Dancer|Mu Yanling, Dançarina Celeste
Muck Drubb|Drubb Sugismundo
Muck Rats|
Mudbrawler Cohort|Coorte de Rixalama
Mudbrawler Raiders|Salteadores de Rixalama
Mudbutton Clanger|Tinidor de Brotolama
Mudbutton Torchrunner|Tocheiro de Brotolama
Muddle the Mixture|Bagunçar a Mistura
Mudhole|Atoleiro
Mudslide|Deslizamento de Lama
Mugging|Assaltar
Mukotai Ambusher|Emboscador Mukotai
Mukotai Soulripper|Estripador de Alma Mukotai
Mul Daya Channelers|Canalizadores de Mul Daya
Mulch|Palha
Muldrotha, the Gravetide|Muldrotha, a Maré Tumular
Mulldrifter|Vaga-Pensador
Multani's Acolyte|Acólito de Multani
Multani's Decree|Decreto de Multani
Multani's Harmony|Harmonia de Multani
Multani's Presence|Presença de Multani
Multani, Maro-Sorcerer|Multani, Feotoceiro-Maro
Multani, Yavimaya's Avatar|Multani, Avatar de Yavimaya
Multiclass Baldric|Talabarte Multiclasse
Multiform Wonder|Maravilha Multiforme
Multiple Choice|Múltipla Escolha
Mummy Paramount|Múmia Suprema
Munda's Vanguard|Vanguarda de Munda
Munda, Ambush Leader|Munda, Líder de Emboscadas
Mundungu|Mundungu
Mungha Wurm|Vorme Mungha
Munitions Expert|Especialista em Municiamento
Muraganda Petroglyphs|Petróglifos de Muraganda
Murasa Behemoth|Behemoth de Murasa
Murasa Brute|Bruto de Murasa
Murasa Pyromancer|Piromante de Murasa
Murasa Ranger|Patrulheiro de Murasa
Murasa Rootgrazer|Pasta-raiz de Murasa
Murasa Sproutling|Brotinho de Murasa
Murder Investigation|Investigação de Assassinato
Murder of Crows|Revoada de Corvos
Murderer's Axe|Machado do Assassino
Murderous Betrayal|Rufia Vacilante
Murderous Compulsion|Compulsão Assassina
Murderous Cut|Talho Assassino
Murderous Redcap|Barrete Vermelho Assassino
Murderous Rider|Ginete Homicida
Murderous Spoils|Despojos Assassinos
Murder|Homicídio
Murk Dwellers|Habitantes das Trevas
Murk Strider|Andarilho do Lodo
Murkfiend Liege|Soberano Demônio das Trevas
Murktide Regent|Regente Marturvo
Murkwater Pathway|Trilha das Águas Turvas
Murmuring Bosk|Bosque Murmurante
Murmuring Mystic|Místico dos Murmúrios
Murmuring Phantasm|
Murmurs from Beyond|Murmúrios do Além
Muscle Burst|Explosão de Músculos
Muscle Sliver|Fractius Musculoso
Muse Drake|Dragonete Inspirador
Muse Vessel|Vaso da Meditação
Muse Vortex|Vórtice da Musa
Mushroom Watchdogs|Cães de Guarda dos Cogumelos
Musician|Músico
Mutagen Connoisseur|Conhecedor dos Mutagênicos
Mutagenic Growth|Crescimento Mutagênico
Mutalith Vortex Beast|Fera do Vórtice Mutalith
Mutant's Prey|
Mutavault|Caverna Mutável
Mutilate|Mutilar
Mutiny|Motim
Mutual Destruction|Destruição Mútua
Mutual Epiphany|Epifania Mútua
Muzzle|Mordaça
Mwonvuli Acid-Moss|Limo Ácido de Mwonvuli
Mwonvuli Beast Tracker|Rastreador de Feras de Mwonvuli
Mwonvuli Ooze|Lodo de Mwonvuli
Mycoid Shepherd|Pastor Micótico
Mycologist|Micologista
Mycoloth|Micoloth
Myconid Spore Tender|Cuidador de Esporos Miconídeo
Mycosynth Fiend|Demônio Micossintetizador
Mycosynth Golem|Golem Micossintetizador
Mycosynth Lattice|Treliça Micossintetizadora
Mycosynth Wellspring|Fonte do Micossintetizador
Myojin of Blooming Dawn|Myojin da Aurora Florescente
Myojin of Cleansing Fire|Myojin do Fogo Purificador
Myojin of Cryptic Dreams|Myojin dos Sonhos Enigmáticos
Myojin of Grim Betrayal|Myojin da Traição Sinistra
Myojin of Infinite Rage|Myojin da Fúria Infinita
Myojin of Life's Web|Myojin da Teia Vital
Myojin of Night's Reach|Myojin do Alcance Noturno
Myojin of Roaring Blades|Myojin das Lâminas Ruidosas
Myojin of Seeing Winds|Myojin dos Ventos Observadores
Myojin of Towering Might|Myojin do Poder Eminente
Myr Adapter|Adaptador de Myr
Myr Battlesphere|Esfera de Batalha Myr
Myr Convert|Myr Convertido
Myr Custodian|Myr Custódio
Myr Enforcer|Impositor Myr
Myr Galvanizer|Galvanizador Myr
Myr Incubator|Incubador dos Myrs
Myr Kinsmith|Myr Myrreiro
Myr Landshaper|Myr Moldaterreno
Myr Matrix|Matriz de Myrs
Myr Mindservant|Myr Ataca-Mentes
Myr Moonvessel|Receptáculo Lunar dos Myrs
Myr Propagator|Propagador Myr
Myr Prototype|Protótipo de Myr
Myr Quadropod|Myr Quadrópode
Myr Reservoir|Reservatório Myr
Myr Retriever|Myr de Busca
Myr Scrapling|Sucatinho Myr
Myr Servitor|Serviçal Myr
Myr Sire|Senhor Myr
Myr Superion|Myr Superion
Myr Turbine|Turbina de Myr
Myr Welder|Myr Soldador
Myrel, Shield of Argive|Myrel, Escudo de Argivo
Myriad Construct|Constructo da Miríade
Myriad Landscape|Paisagem Infinita
Myrkul's Edict|Édito de Myrkul
Myrkul's Invoker|Invocador de Myrkul
Myrkul, Lord of Bones|Myrkul, Senhor dos Ossos
Myrsmith|Forjador de Myr
Mysteries of the Deep|Mistérios das Profundezas
Mysterious Egg|Ovo Misterioso
Mysterious Limousine|Limusine Misteriosa
Mysterious Pathlighter|Alumiador de Trilhas Misterioso
Mystery Key|Chave Misteriosa
Mystic Archaeologist|Especialista em Arqueologia Espiritual
Mystic Compass|Bússola Mística
Mystic Confluence|Confluência Mística
Mystic Crusader|Cruzado Místico
Mystic Decree|Édito Místico
Mystic Denial|
Mystic Enforcer|Impositor Místico
Mystic Familiar|Familiar Místico
Mystic Forge|Forja Mística
Mystic Gate|Portão Místico
Mystic Genesis|Gênese Mística
Mystic Meditation|Meditação Mística
Mystic Melting|Fundição Mística
Mystic Might|Força Mística
Mystic Monastery|Monastério Místico
Mystic Penitent|Penitente Místico
Mystic Redaction|Revisão Mística
Mystic Reflection|Reflexo Místico
Mystic Remora|Rêmora Mística
Mystic Repeal|Repulsão Mística
Mystic Restraints|Restrições Místicas
Mystic Retrieval|Retorno Místico
Mystic Sanctuary|Santuário Místico
Mystic Skyfish|Aeropeixe Místico
Mystic Snake|Serpente Mística
Mystic Speculation|Especulação Mística
Mystic Subdual|Submissão Mística
Mystic Veil|Véu Místico
Mystic Visionary|Visionário Místico
Mystic Zealot|Zelote Místico
Mystic of the Hidden Way|Místico do Caminho Oculto
Mystical Dispute|Disputa Mística
Mystical Teachings|Ensinamentos Místicos
Mystical Tutor|Tutor Místico
Mystifying Maze|Labirinto Ludibriador
Myth Realized|Mito Concretizado
Myth Unbound|Mito Liberto
Mythic Proportions|Proporções Míticas
Mythos of Brokkos|Mito de Brokkos
Mythos of Illuna|Mito de Illuna
Mythos of Nethroi|Mito de Nethroi
Mythos of Snapdax|Mito de Snapdax
Mythos of Vadrok|Mito de Vadrok
Márton Stromgald|Márton Stromgald
Naban, Dean of Iteration|Naban, Deão das Iterações
Nacatl Hunt-Pride|Bando de Caça Nacatl
Nacatl Outlander|Forasteiro Nacatl
Nacatl Savage|Selvagem Nacatl
Nacatl War-Pride|Orgulho de Guerra Nacatl
Nacre Talisman|Talismã de Nácar
Nadaar, Selfless Paladin|Nadaar, Paladino Altruísta
Nadier's Nightblade|Lâmina Noturna de Nadier
Nadier, Agent of the Duskenel|Nadier, Agente dos Ocasinel
Nadir Kraken|Kraken do Nadir
Nael, Avizoa Aeronaut|Nael, Aeronauta Avizoa
Nafs Asp|Áspide de Néfis
Naga Eternal|Eterna Naga
Naga Oracle|Oráculo Naga
Naga Vitalist|Vitalista Naga
Nagao, Bound by Honor|Nagao, Comprometido pela Honra
Nagging Thoughts|Pensamentos Incômodos
Nahiri's Binding|Aprisionamento de Nahiri
Nahiri's Lithoforming|Litoformação de Nahiri
Nahiri's Machinations|Maquinações de Nahiri
Nahiri's Resolve|Determinação de Nahiri
Nahiri's Sacrifice|Sacrifício de Nahiri
Nahiri's Stoneblades|Litolâminas de Nahiri
Nahiri's Warcrafting|Arte Bélica de Nahiri
Nahiri's Wrath|Ira de Nahiri
Nahiri, Forged in Fury|Nahiri, Forjada em Fúria
Nahiri, Heir of the Ancients|Nahiri, Herdeira dos Antigos
Nahiri, Storm of Stone|Nahiri, Tempestade de Pedra
Nahiri, the Harbinger|Nahiri, a Anunciadora
Nahiri, the Unforgiving|Nahiri, a Inclemente
Naiad of Hidden Coves|Náiade das Enseadas Ocultas
Najal, the Storm Runner|Najal, o Corredor das Tempestades
Najeela, the Blade-Blossom|Najeela, a Flor Afiada
Nakaya Shade|Sombra de Nakaya
Naked Singularity|Excentricidade Exposta
Naktamun|Nactamon
Nalfeshnee|Nalfeshnee
Nalia de'Arnise|Nalia de'Arnise
Nameless Conqueror|Conquistador Sem Nome
Nameless Inversion|Inversão Anônima
Nameless One|O Inominável
Nantuko Blightcutter|Nantuko Ceifador do Mal
Nantuko Calmer|Tranquilizador Nantuko
Nantuko Cultivator|Cultivador Nantuko
Nantuko Disciple|Discípulo Nantuko
Nantuko Elder|Ancião Nantuko
Nantuko Husk|Folhelho Nantuko
Nantuko Mentor|Mentor Nantuko
Nantuko Monastery|Monastério dos Nantukos
Nantuko Shade|Vulto Nantuko
Nantuko Shaman|Xamã Nantuko
Nantuko Shrine|Sacrário dos Nantukos
Nantuko Tracer|Traçador Nantuko
Nantuko Vigilante|Justiceiro Nantuko
Naomi, Pillar of Order|Naomi, Pilar da Ordem
Narcissism|Narcisismo
Narcolepsy|Narcolepsia
Narcomoeba|Narcoameba
Narfi, Betrayer King|Narfi, Rei Traidor
Narnam Cobra|Naja da Narnam
Narnam Renegade|Renegado de Narnam
Narrow Escape|Escapar por Pouco
Narset Transcendent|Narset Transcendente
Narset of the Ancient Way|Narset do Caminho Antigo
Narset's Reversal|Reversão de Narset
Narset, Enlightened Exile|Narset, Exilada Iluminada
Narset, Enlightened Master|Narset, Mestra Iluminada
Narset, Parter of Veils|Narset, Rasgadora de Véus
Narstad Scrapper|Sucateiro de Narstad
Naru Meha, Master Wizard|Naru Meha, Maga Mestra
Narwhal|Narval
Nascent Metamorph|Metamorfo Nascente
Nashi, Moon Sage's Scion|Nashi, Herdeiro da Sábia da Lua
Nashi, Moon's Legacy|Nashi, Legado da Lua
Nasty End|Fim Terrível
Nath of the Gilt-Leaf|Nath de Folha D'Ouro
Nath's Buffoon|Bobo de Nath
Nath's Elite|Elite de Nath
Natural Affinity|Afinidade Natural
Natural Balance|Equilíbrio Natural
Natural Connection|Conexão Natural
Natural Emergence|Emergência Natural
Natural End|Fim Natural
Natural Obsolescence|Obsolescência Natural
Natural Order|Ordem Natural
Natural Reclamation|Retomada Natural
Natural Spring|Fonte Natural
Natural State|Estado Natural
Naturalize|Naturalizar
Nature's Blessing|Bênção da Natureza
Nature's Chant|Canto da Natureza
Nature's Chosen|Eleito da Natureza
Nature's Claim|Reivindicação da Natureza
Nature's Embrace|Abraço da Natureza
Nature's Kiss|Beijo da Natureza
Nature's Lore|Sabedoria da Natureza
Nature's Panoply|Panóplia da Natureza
Nature's Resurgence|Ressurgência da Natureza
Nature's Revolt|Revolta da Natureza
Nature's Spiral|Espiral da Natureza
Nature's Way|Método Natural
Nature's Will|Vontade da Natureza
Nature's Wrath|Ira da Natureza
Nausea|Náusea
Nautiloid Ship|Nave Nautiloide
Nav Squad Commandos|Comandos do Esquadrão de Navegação
Navigation Orb|Orbe de Navegação
Navigator's Compass|Bússola do Navegador
Navigator's Ruin|Ruína do Navegador
Naya Battlemage|Mago de Combate de Naya
Naya Charm|Medalhão de Naya
Naya Hushblade|Lâmina Silenciosa de Naya
Naya Panorama|Panorama de Naya
